O_Trip,D_Trip,T_Trip,Capacity,Int_points,Grocery,School,Hospital,Transit,Pop,Pec_Whi,Med_age,HH_2010,HH_ACS,Pec_01_V,Income,T_work,Emp_rate,WBN_len,WBN_des,BN_len,BN_des,Crash,Crime,UndSer_Lvl,UndSer_Cod
12741,13501,26242,39,66,1,1,2,6,4166.310059,78.7101974,33.2136002,2298.149902,2145.76001,82.3752975,63747.30078,3000.169922,94.3122025,5463.515547,108.6931882,3587.177585,71.36463056,44,209,Adequately served,1
4862,4887,9749,19,109,3,2,1,10,3874.899902,54.1225014,36.2196007,2072.120117,1977.170044,84.572197,53274.60156,2089.729981,92.6632004,7229.825896,143.8328161,5376.683455,106.9657187,60,235,Moderately served,0
8479,8698,17177,15,124,4,6,1,4,1646.900024,59.7983017,35.5379982,743.6859741,813.7529907,74.0157013,102627,1084.969971,93.751297,6582.056495,130.9458534,2868.842898,57.07381602,67,396,Moderately served,0
4661,4336,8997,15,73,1,4,1,4,5202.700195,83.2258987,29.9225998,2198.729981,2216.26001,61.5335007,111271,3957.76001,96.9708023,6111.774094,121.5898823,257.5847087,5.124484956,68,156,Adequately served,1
14618,14643,29261,15,264,2,6,6,11,9144.610352,82.0065994,32.4164009,5872.029785,5627.649902,88.7790985,79004.70313,6593.850098,96.1169968,7971.81185,158.5941577,2654.679739,52.81317536,83,406,Moderately served,0
21551,21476,43027,19,223,1,0,0,3,300.8330078,28.9487,33.7000008,130.6690063,120,88,67027,145.4989929,98.5438995,5772.317346,114.8366048,431.0005281,8.574483066,4,30,Moderately served,0
8414,7890,16304,15,68,0,18,66,13,693.9840088,41.7265015,26.4321995,192.0619965,173.121994,72.6993027,32320.09961,361.1260071,91.7680969,3734.194294,74.28943505,4185.599451,83.26985531,46,203,Moderately served,0
5580,5142,10722,15,172,0,1,1,4,4814.75,87.3608017,31.8339996,2244.840088,2237.280029,64.4842987,104557,3135.199951,96.5061035,7452.022294,148.253273,3450.640823,68.64831797,26,155,Adequately served,1
791,965,1756,15,105,4,3,5,10,3011.600098,37.6607018,27.9871006,933.1370239,844.9580078,77.5912018,29596.40039,1375.550049,81.5283966,6166.732204,122.6832391,2083.941913,41.45870707,39,346,Moderately served,0
10419,9839,20258,15,143,1,8,3,4,5530.450195,86.1910019,28.5086002,2874.090088,2656.060059,81.4219971,99824.70313,4077.179932,96.1326981,5854.623772,116.4740392,2721.969128,54.15185522,46,362,Moderately served,0
5021,5316,10337,15,52,1,6,1,18,3764.050049,83.5213013,33.4762993,1733.410034,1734.02002,66.6128006,72850.29688,2585.77002,94.6981964,5324.168267,105.9209622,2344.530693,46.64295613,66,167,Moderately served,0
10600,10705,21305,15,25,1,4,1,10,6635.759766,85.6925964,30.0508995,3881.25,3577.189941,87.1798019,88363.5,5733.77002,96.7733002,4824.485255,95.98008452,1314.834866,26.15780853,64,685,Moderately served,0
10687,12169,22856,15,10,2,5,0,13,9016.55957,82.8934021,31.2798996,5768.290039,5608.169922,87.3955002,61451.30078,7208.839844,96.2309036,4052.290536,80.61775871,782.7612298,15.57253987,101,678,Moderately served,0
2582,2202,4784,15,42,1,5,1,7,3903.199951,80.536499,32.971199,2138.570068,2142.610107,78.4713974,68108.20313,2855.790039,93.2434998,5295.291501,105.3464772,58.74052367,1.168605588,51,141,Moderately served,0
5979,6037,12016,15,54,3,7,2,12,5876.359863,60.8353004,41.0131989,3187.540039,3190.439941,86.3578033,52701.10156,3346.219971,89.9639969,5354.004834,106.5145418,2208.076113,43.92827852,106,387,Moderately served,0
4553,4679,9232,15,37,9,4,2,8,6315.490234,43.5994987,37.5133018,2977.429932,3017.469971,87.6109009,34631,3227.780029,88.9223022,4569.670249,90.91070106,781.7897109,15.55321212,74,386,Underserved,-1
2763,2510,5273,11,17,0,0,0,7,2625.699951,85.2951965,32.0525017,1311.540039,1217.040039,73.0427017,102406,1954.290039,96.6130981,2774.046977,55.1879111,1968.217345,39.15643994,45,93,Moderately served,0
4695,4939,9634,19,57,12,9,3,11,7597.660156,41.4323006,38.3745003,3316.679932,3366.600098,84.5914001,33266.5,3976.169922,84.6559982,5235.088979,104.1487861,1811.229543,36.03326685,57,847,Moderately served,0
4061,3860,7921,15,178,0,3,2,2,5145.830078,60.6906013,31.2745991,2062,2119.419922,75.0714035,44421.30078,3096.350098,89.7257004,7475.7695,148.7257087,3689.989108,73.4100008,36,225,Moderately served,0
13822,13026,26848,19,70,2,8,2,14,7963.189941,76.0879974,35.7485008,5081.25,4696.450195,88.3794022,77963.39844,5421.709961,91.3658981,4604.057189,91.59480748,3090.042467,61.47444162,67,742,Moderately served,0
23372,24420,47792,15,121,7,7,11,27,8900.790039,69.407402,33.5517006,5645.680176,5583.990234,91.0329971,90100.89844,5918.990234,93.2530975,2769.014407,55.0877913,3023.184706,60.14434873,348,2620,Moderately served,0
15566,16324,31890,19,188,4,3,3,7,4114.390137,67.0930023,32.1818008,2221.75,2325.850098,85.5044022,109158,3220,95.7157974,7885.669782,156.8804157,5751.662492,114.4256896,369,590,Moderately served,0
28118,19623,47741,31,1513,2,6,4,10,5898.379883,66.3356018,37.8268013,3463.360107,3820.459961,89.3520966,105230,3907.040039,95.1715012,20114.26996,400.1606863,4922.527697,97.93057693,179,760,Moderately served,0
13180,13529,26709,19,763,2,15,18,28,4938.720215,64.2263031,32.7535019,2984.830078,2757.149902,92.3871994,89517.10156,2839.530029,92.9671021,10623.34264,211.3446866,4080.660564,81.18216249,363,1981,Moderately served,0
11563,11740,23303,19,925,3,44,26,30,2954.689941,68.5427017,37.4804001,1397.050049,1417.930054,92.9037018,102168,1796.819946,91.8853989,12546.17716,249.598264,4168.869879,82.93703105,247,3652,Moderately served,0
11502,11072,22574,19,329,5,9,11,27,7725.759766,65.485199,33.3147011,4951.319824,5456.709961,91.0493011,87002.29688,5600.339844,94.1567001,5002.2182,99.51596913,3310.51846,65.86067215,395,1621,Moderately served,0
17448,12887,30335,23,941,11,11,9,28,4903.799805,51.3763008,29.4578991,2839.409912,2783.070068,97.0327988,82671,3365.139893,91.3731995,14175.2882,282.0083984,8008.452292,159.3230961,233,682,Moderately served,0
7810,7499,15309,15,131,0,1,0,2,4738.799805,84.9720993,32.1904984,2022.560059,1988.719971,58.5390015,136557,3150.179932,95.9848022,5902.580581,117.4281096,1826.671024,36.34046537,62,130,Moderately served,0
663,657,1320,15,48,0,8,0,14,1663.910034,13.7602997,38.7780991,963.2390137,1247.040039,86.2708969,34075.80078,1310.050049,79.2718964,3136.62309,62.40113368,296.5218323,5.899114419,95,373,Underserved,-1
33350,30436,63786,47,952,6,12,7,26,4929.279785,51.1416016,29.9011002,2836.330078,2709.550049,96.5407028,87372.39844,3242.98999,91.4787979,14736.82969,293.1799114,7034.623824,139.9493943,224,716,Moderately served,0
130,141,271,15,56,1,6,3,10,2176.23999,0.972605,38.4350014,831.8720093,867.2940063,84.1412964,21679.30078,1079.369995,63.6824989,5575.776103,110.9265411,2203.566093,43.83855451,81,553,Underserved,-1
497,539,1036,11,109,0,7,0,9,2520.530029,3.1625199,36.9048004,1119.609985,1135.040039,83.4658966,40090.60156,1287.380005,80.8872986,4977.616043,99.02652477,1458.375387,29.01345646,27,357,Moderately served,0
2698,2771,5469,11,88,0,3,1,17,1958.209961,16.7856007,42.9369011,819.2670288,801.809021,77.0644989,62705.89844,999.6019897,83.9449005,4360.255235,86.74452173,1404.826568,27.94813655,45,260,Moderately served,0
9136,9512,18648,23,132,2,5,1,12,5836.720215,53.5074005,34.1772995,2922.959961,3218.479981,87.2341995,77806.60156,4498.080078,94.0848999,5181.738186,103.0874058,4677.576405,93.05742582,64,440,Moderately served,0
2130,2266,4396,15,170,3,9,0,6,4597.370117,34.4501991,31.4624004,1951.150024,2023.300049,79.9149017,39842.60156,2408.590088,82.0457001,8065.893477,160.4658522,2149.615617,42.7652439,35,316,Moderately served,0
1488,1704,3192,15,56,2,5,1,6,926.9559937,24.5615005,34.1743011,445.3380127,504.8680115,87.4375992,37414.80078,526.2620239,88.8584976,4470.661145,88.94097752,1280.569754,25.47612579,48,190,Moderately served,0
3278,3149,6427,11,203,1,3,1,8,3902.229981,47.4105988,31.5536003,1363.540039,1413.439941,76.2031021,37411.80078,2031.199951,89.5635986,8062.7162,160.4026422,1707.081115,33.96129971,114,397,Moderately served,0
4086,4030,8116,15,139,1,5,0,7,2836.610107,71.1408005,32.4029999,1327.150024,1232.719971,68.9890976,78337.70313,1949.979981,91.581398,7853.428384,156.2389934,3241.153356,64.48069724,72,221,Moderately served,0
1371,1307,2678,15,40,2,3,1,6,3466.449951,59.1236992,35.1495018,1331.630005,1286.640015,63.6147003,57483.80078,1755.420044,86.2947006,4567.202675,90.86161024,106.4623613,2.118001382,45,121,Moderately served,0
